edge_id:int,source_id:int,target_id:int,label_id:int
622590,255222,258,49
622754,255246,257,48
622755,255246,258,49
622756,255246,6980,49
622811,255254,257,48
622812,255254,258,49
622920,255270,257,48
622921,255270,258,49
622922,255270,6980,49
622940,255273,257,48
622941,255273,258,49
622942,255273,6980,49
623653,255533,257,48
623654,255533,258,49
717422,255534,257,48
717423,255534,258,49
624335,255793,257,48
624336,255793,258,49
624477,255836,257,48
624478,255836,258,49
624479,255836,6980,49
624821,255926,257,48
624822,255926,258,49
630131,257636,257,48
630132,257636,258,49
629848,257808,257,48
629849,257808,258,49
630142,257906,257,48
630143,257906,258,49
632335,258574,257,48
632336,258574,258,49
636418,259958,257,48
636419,259958,258,49
639585,259959,257,48
639586,259959,258,49
649948,265251,257,48
649949,265251,258,49
3268058,265751,257,48
3268059,265751,258,49
660992,269235,257,48
660993,269235,258,49
661992,269619,257,48
661993,269619,258,49
662019,269626,257,48
662020,269626,258,49
666071,271290,257,48
666072,271290,34420,49
898792,271398,257,48
898793,271398,258,49
667790,271907,257,48
667791,271907,258,49
667792,271907,6980,49
672234,273619,257,48
672235,273619,258,49
675002,274782,257,48
675003,274782,258,49
689127,280103,257,48
689128,280103,258,49
693825,281730,257,48
693826,281730,258,49
702244,284836,257,48
702245,284836,258,49
709200,287329,257,48
709201,287329,2193,49
709202,287329,5445,49
1556025,287330,257,48
1556026,287330,2193,49
1556027,287330,5445,49
717299,290332,257,48
717300,290332,258,49
718163,290674,257,48
718164,290674,258,49
884611,296544,257,48
884612,296544,258,49
737405,297567,257,48
737406,297567,258,49
740189,298597,257,48
740190,298597,258,49
741101,298886,257,48
741102,298886,258,49
745961,300621,257,48
745962,300621,258,49
749173,301688,257,48
749174,301688,52747,49
12684411,301689,257,48
12684412,301689,52747,49
1689509,301690,257,48
1689511,301690,52747,49
1689510,301690,9855,48
749908,301928,46509,48
751008,302270,257,48
751009,302270,258,49
752104,302614,257,48
752105,302614,258,49
760135,305149,257,48
760136,305149,258,49
770217,305150,257,48
770218,305150,258,49
770405,310273,257,48
770406,310273,258,49
4902085,310684,257,48
4902086,310684,258,49
4902087,310684,6980,49
771958,310811,257,48
771959,310811,258,49
777497,312875,257,48
777498,312875,52747,49
7589113,312876,257,48
7589114,312876,52747,49
778022,312877,257,48
778023,312877,52747,49
779070,313510,257,48
779071,313510,258,49
780043,313857,257,48
780044,313857,258,49
780355,313978,257,48
780356,313978,258,49
780733,314115,257,48
780734,314115,258,49
787190,316380,257,48
787191,316380,2193,49
9162511,316381,257,48
9162512,316381,2193,49
787793,316567,2632,49
787792,316567,56958,48
789396,317081,257,48
789397,317081,9854,49
790547,317550,6526,48
790548,317550,6527,49
795740,319495,257,48
795741,319495,258,49
803051,322139,257,48
803052,322139,258,49
817995,327731,257,48
817996,327731,258,49
827670,331222,257,48
827671,331222,258,49
835006,333759,257,48
835007,333759,52747,49
3861900,333760,257,48
3861901,333760,52747,49
843786,336962,257,48
843787,336962,258,49
859272,342575,949,48
2859854,342576,949,48
6386146,342577,949,48
6685747,342578,949,48
6685742,342579,949,48
6441202,342580,949,48
3450719,342988,257,48
3450720,342988,258,49
862570,343830,257,48
862571,343830,52747,49
863873,344278,257,48
863874,344278,258,49
13695935,349162,257,48
13695936,349162,258,49
877675,349479,257,48
877677,349479,9854,49
877676,349479,9855,48
885879,352117,257,48
885880,352117,258,49
899404,356926,257,48
899405,356926,258,49
900238,357200,257,48
900239,357200,258,49
900240,357200,6980,49
902124,357817,56958,48
902125,357817,2632,49
6864990,357818,56958,48
6864991,357818,2632,49
917353,362992,257,48
917354,362992,258,49
918115,363312,257,48
918116,363312,258,49
3671808,363391,257,48
3671809,363391,258,49
3596797,366959,257,48
3596798,366959,258,49
3596799,366959,6980,49
959538,377749,257,48
959539,377749,258,49
963805,379185,949,48
6385064,379186,949,48
2698698,379187,949,48
2698720,379188,949,48
968774,380912,949,48
975855,383384,257,48
975856,383384,258,49
11968238,384859,257,48
11725492,385015,257,48
11725493,385015,9854,49
1041835,406197,257,48
1041836,406197,258,49
1073062,417028,257,48
1073063,417028,2193,49
5632898,417029,257,48
5632899,417029,2193,49
5632900,417029,101021,49
5633603,417030,257,48
5633604,417030,2193,49
5633605,417030,101021,49
1863563,418480,6526,48
1082686,420584,257,48
1082688,420584,9854,49
1082687,420584,9855,48
1084639,421216,257,48
1084640,421216,9854,49
1089628,422914,257,48
1089629,422914,258,49
1100082,426510,257,48
1100083,426510,258,49
15523218,427017,257,48
15523219,427017,258,49
15523220,427017,6980,49
1106844,428798,46509,48
1125878,437222,257,48
1125879,437222,258,49
1125880,437222,6980,49
1126521,437439,6526,48
1126522,437439,6527,49
