edge_id:int64,source_id:int64,target_id:int64,label_id:int,graph_id:int
1,1,0,52,249
2,1,2,51,249
3,2,3,49,249
1,1,0,52,250
2,1,2,51,250
3,2,3,49,250
1,1,0,52,251
2,1,2,51,251
3,2,3,49,251
1,1,0,52,252
2,1,2,51,252
3,2,3,49,252
1,1,0,52,253
2,1,2,51,253
3,2,3,49,253
1,1,0,52,254
2,1,2,51,254
3,2,3,49,254
1,1,0,52,255
2,1,2,51,255
3,2,3,49,255
1,1,0,49,256
2,2,1,50,256
3,3,0,49,256
1,1,0,49,257
2,2,1,50,257
3,3,0,49,257
1,1,0,49,258
2,2,1,50,258
3,3,0,49,258
1,1,0,49,259
2,2,1,50,259
3,3,0,49,259
1,1,0,49,260
2,2,1,50,260
3,3,0,49,260
1,1,0,49,261
2,2,1,50,261
3,3,0,49,261
1,1,0,49,262
2,2,1,50,262
3,3,0,49,262
1,1,0,49,263
2,2,1,50,263
3,3,0,49,263
1,1,0,49,264
2,2,1,50,264
3,3,0,49,264
1,1,0,49,265
2,2,1,50,265
3,3,0,49,265
1,1,0,49,266
2,2,1,50,266
3,3,0,49,266
1,1,0,52,267
2,1,2,50,267
3,2,3,48,267
1,1,0,52,268
2,1,2,50,268
3,2,3,48,268
1,1,0,52,269
2,1,2,50,269
3,2,3,48,269
1,1,0,52,270
2,1,2,50,270
3,2,3,48,270
1,1,0,52,271
2,1,2,50,271
3,2,3,48,271
1,1,0,52,272
2,1,2,50,272
3,2,3,48,272
1,1,0,52,273
2,1,2,50,273
3,2,3,48,273
1,1,0,52,274
2,1,2,50,274
3,2,3,48,274
1,1,0,52,275
2,1,2,50,275
3,2,3,48,275
1,1,0,52,276
2,1,2,50,276
3,2,3,48,276
1,1,0,52,277
2,1,2,50,277
3,2,3,48,277
1,1,0,51,278
2,1,2,50,278
3,2,3,48,278
1,1,0,51,279
2,1,2,50,279
3,2,3,48,279
1,1,0,51,280
2,1,2,50,280
3,2,3,48,280
1,1,0,51,281
2,1,2,50,281
3,2,3,48,281
1,1,0,51,282
2,1,2,50,282
3,2,3,48,282
1,1,0,51,283
2,1,2,50,283
3,2,3,48,283
1,1,0,51,284
2,1,2,50,284
3,2,3,48,284
1,1,0,51,285
2,1,2,50,285
3,2,3,48,285
1,1,0,51,286
2,1,2,50,286
3,2,3,48,286
1,1,0,51,287
2,1,2,50,287
3,2,3,48,287
1,1,0,51,288
2,1,2,50,288
3,2,3,48,288
1,1,0,49,289
2,1,2,50,289
3,3,1,51,289
1,1,0,49,290
2,1,2,50,290
3,3,1,51,290
1,1,0,49,291
2,1,2,50,291
3,3,1,51,291
1,1,0,49,292
2,1,2,50,292
3,3,1,51,292
1,1,0,49,293
2,1,2,50,293
3,3,1,51,293
1,1,0,49,294
2,1,2,50,294
3,3,1,51,294
1,1,0,49,295
2,1,2,50,295
3,3,1,51,295
1,1,0,49,296
2,1,2,50,296
3,3,1,51,296
1,1,0,49,297
2,1,2,50,297
3,3,1,51,297
1,1,0,49,298
2,1,2,50,298
3,3,1,51,298
1,1,0,49,299
2,1,2,50,299
3,3,1,51,299
1,1,0,49,300
3,1,3,48,300
2,2,1,50,300
1,1,0,49,301
3,1,3,48,301
2,2,1,50,301
1,1,0,49,302
3,1,3,48,302
2,2,1,50,302
1,1,0,49,303
3,1,3,48,303
2,2,1,50,303
1,1,0,49,304
3,1,3,48,304
2,2,1,50,304
1,1,0,49,305
3,1,3,48,305
2,2,1,50,305
1,1,0,49,306
3,1,3,48,306
2,2,1,50,306
1,1,0,49,307
3,1,3,48,307
2,2,1,50,307
1,1,0,49,308
3,1,3,48,308
2,2,1,50,308
1,1,0,49,309
3,1,3,48,309
2,2,1,50,309
1,1,0,49,310
3,1,3,48,310
2,2,1,50,310
1,1,0,49,311
3,1,3,48,311
2,2,1,50,311
1,1,0,49,312
3,1,3,48,312
2,2,1,50,312
1,1,0,49,313
3,1,3,48,313
2,2,1,50,313
1,1,0,49,314
3,1,3,48,314
2,2,1,50,314
1,1,0,49,315
3,1,3,48,315
2,2,1,50,315
1,1,0,49,316
3,1,3,48,316
2,2,1,50,316
1,1,0,49,317
3,1,3,48,317
2,2,1,50,317
1,1,0,49,318
3,1,3,48,318
2,2,1,50,318
1,1,0,49,319
3,1,3,48,319
2,2,1,50,319
1,1,0,49,320
2,2,0,49,320
3,3,2,51,320
1,1,0,49,321
2,2,0,49,321
3,3,2,51,321
1,1,0,49,322
2,2,0,49,322
3,3,2,51,322
1,1,0,49,323
2,2,0,49,323
3,3,2,51,323
1,1,0,49,324
2,2,0,49,324
3,3,2,51,324
1,1,0,49,325
2,2,0,49,325
3,3,2,51,325
1,1,0,49,326
2,2,0,49,326
3,3,2,51,326
1,1,0,49,327
2,2,0,49,327
3,3,2,51,327
1,1,0,49,328
2,2,0,49,328
3,3,2,51,328
1,1,0,49,329
2,2,0,49,329
3,3,2,51,329
1,1,0,49,330
2,2,0,49,330
3,3,2,51,330
1,1,0,48,331
2,2,0,48,331
3,3,2,50,331
1,1,0,48,332
2,2,0,48,332
3,3,2,50,332
1,1,0,48,333
2,2,0,48,333
3,3,2,50,333
1,1,0,48,334
2,2,0,48,334
3,3,2,50,334
1,1,0,48,335
2,2,0,48,335
3,3,2,50,335
1,1,0,48,336
2,2,0,48,336
3,3,2,50,336
1,1,0,48,337
2,2,0,48,337
3,3,2,50,337
1,1,0,48,338
2,2,0,48,338
3,3,2,50,338
1,1,0,48,339
2,2,0,48,339
3,3,2,50,339
1,1,0,48,340
2,2,0,48,340
3,3,2,50,340
1,1,0,48,341
2,2,0,48,341
3,3,2,50,341
1,1,0,49,342
2,1,2,50,342
3,3,1,52,342
1,1,0,49,343
2,1,2,50,343
3,3,1,52,343
1,1,0,49,344
2,1,2,50,344
3,3,1,52,344
1,1,0,49,345
2,1,2,50,345
3,3,1,52,345
1,1,0,49,346
2,1,2,50,346
3,3,1,52,346
1,1,0,49,347
2,1,2,50,347
3,3,1,52,347
1,1,0,49,348
2,1,2,50,348
3,3,1,52,348
1,1,0,49,349
2,1,2,50,349
3,3,1,52,349
1,1,0,49,350
2,1,2,50,350
3,3,1,52,350
1,1,0,49,351
2,1,2,50,351
3,3,1,52,351
1,1,0,49,352
2,1,2,50,352
3,3,1,52,352
3,0,3,49,353
4,0,4,49,353
1,1,0,52,353
2,2,0,52,353
3,0,3,49,354
1,1,0,51,354
2,2,0,51,354
4,4,2,51,354
2,0,2,49,355
4,0,4,51,355
1,1,0,52,355
3,2,3,48,355
2,0,2,49,356
1,1,0,52,356
3,2,3,48,356
4,4,0,52,356
3,0,3,48,357
4,0,4,50,357
1,1,0,50,357
2,2,0,50,357
2,0,2,49,358
4,0,4,49,358
1,1,0,52,358
3,1,3,51,358
3,0,3,49,359
1,1,0,51,359
2,2,0,51,359
4,3,4,48,359
3,0,3,49,360
1,1,0,51,360
2,1,2,50,360
4,1,4,50,360
4,0,4,49,361
1,1,0,50,361
2,2,0,50,361
3,3,0,50,361
3,0,3,48,362
4,0,4,48,362
1,1,0,49,362
2,2,0,49,362
2,0,2,49,363
3,0,3,51,363
4,0,4,48,363
1,1,0,52,363
3,0,3,49,364
1,1,0,51,364
2,1,2,48,364
4,1,4,52,364
2,0,2,49,365
1,1,0,52,365
3,3,2,49,365
4,4,0,52,365
3,0,3,48,366
1,1,0,50,366
2,2,0,50,366
4,4,0,50,366
3,0,3,48,367
1,1,0,49,367
2,2,0,49,367
4,4,2,49,367
3,0,3,49,368
1,1,0,51,368
2,1,2,48,368
4,1,4,49,368
2,0,2,49,369
4,0,4,51,369
1,1,0,52,369
3,1,3,51,369
3,0,3,49,370
1,1,0,52,370
2,2,0,52,370
4,2,4,49,370
2,0,2,49,371
4,0,4,48,371
1,1,0,52,371
3,1,3,51,371
2,0,2,49,372
1,1,0,52,372
3,1,3,48,372
4,1,4,49,372
3,0,3,48,373
1,1,0,50,373
2,2,0,50,373
4,4,3,48,373
3,0,3,49,374
1,1,0,51,374
2,1,2,50,374
4,1,4,52,374
2,0,2,49,375
4,0,4,48,375
1,1,0,52,375
3,1,3,50,375
2,0,2,49,376
1,1,0,52,376
3,1,3,51,376
4,1,4,48,376
3,0,3,48,377
4,0,4,49,377
1,1,0,50,377
2,2,0,50,377
3,0,3,48,378
4,0,4,49,378
1,1,0,50,378
2,2,0,50,378
2,0,2,49,379
1,1,0,52,379
3,1,3,51,379
4,1,4,50,379
3,0,3,49,380
1,1,0,51,380
2,2,0,51,380
4,2,4,49,380
3,0,3,49,381
1,1,0,51,381
2,2,0,51,381
4,2,4,49,381
1,1,0,48,382
2,1,2,48,382
3,3,1,49,382
4,3,4,52,382
1,1,0,48,383
2,1,2,48,383
3,3,1,49,383
4,3,4,52,383
1,1,0,48,384
2,1,2,48,384
3,3,1,49,384
4,3,4,52,384
1,1,0,48,385
2,1,2,48,385
3,3,1,49,385
4,3,4,52,385
1,1,0,48,386
2,1,2,48,386
3,3,1,49,386
4,3,4,52,386
1,1,0,48,387
2,1,2,48,387
3,3,1,49,387
4,3,4,52,387
1,1,0,48,388
2,1,2,48,388
3,3,1,49,388
4,3,4,52,388
1,1,0,49,389
2,1,2,50,389
3,3,1,50,389
4,4,1,50,389
1,1,0,49,390
2,1,2,50,390
3,3,1,50,390
4,4,1,50,390
1,1,0,49,391
2,1,2,50,391
3,3,1,50,391
4,4,1,50,391
1,1,0,49,392
2,1,2,50,392
3,3,1,50,392
4,4,1,50,392
1,1,0,49,393
2,1,2,50,393
3,3,1,50,393
4,4,1,50,393
1,1,0,49,394
2,1,2,50,394
3,3,1,50,394
4,4,1,50,394
1,1,0,49,395
2,1,2,50,395
3,3,1,50,395
4,4,1,50,395
1,1,0,49,396
2,1,2,50,396
3,3,1,50,396
4,4,1,50,396
1,1,0,49,397
2,1,2,50,397
3,3,1,50,397
4,4,1,50,397
1,1,0,48,398
2,1,2,48,398
3,3,1,49,398
4,4,3,51,398
1,1,0,48,399
2,1,2,48,399
3,3,1,49,399
4,4,3,51,399
1,1,0,48,400
2,1,2,48,400
3,3,1,49,400
4,4,3,51,400
1,1,0,48,401
2,1,2,48,401
3,3,1,49,401
4,4,3,51,401
1,1,0,48,402
2,1,2,48,402
3,3,1,49,402
4,4,3,51,402
1,1,0,48,403
2,1,2,48,403
3,3,1,49,403
4,4,3,51,403
1,1,0,48,404
2,1,2,48,404
3,3,1,49,404
4,4,3,51,404
1,1,0,48,405
2,1,2,48,405
3,3,1,49,405
4,4,3,51,405
1,1,0,48,406
2,1,2,48,406
3,3,1,49,406
4,4,3,51,406
1,1,0,48,407
2,1,2,48,407
3,3,1,49,407
4,4,3,51,407
1,1,0,48,408
2,1,2,48,408
3,3,1,49,408
4,4,3,51,408
1,1,0,51,409
2,1,2,50,409
3,2,3,48,409
4,2,4,50,409
1,1,0,51,410
2,1,2,50,410
3,2,3,48,410
4,2,4,50,410
1,1,0,51,411
2,1,2,50,411
3,2,3,48,411
4,2,4,50,411
1,1,0,51,412
2,1,2,50,412
3,2,3,48,412
4,2,4,50,412
1,1,0,51,413
2,1,2,50,413
3,2,3,48,413
4,2,4,50,413
