type,x_id,x_attr,y_id,y_attr,edge_label,c,gar_id
Edge,3,,0,,49,,590
Edge,3,,0,,49,,591
Edge,3,,0,,49,,592
Edge,3,,0,,49,,593
Edge,3,,0,,49,,594
Edge,3,,0,,49,,595
Edge,3,,0,,49,,596
Edge,3,,0,,49,,597
Edge,3,,0,,49,,598
Edge,3,,0,,48,,599
Edge,3,,0,,48,,600
Edge,3,,0,,48,,601
Edge,3,,0,,48,,602
Edge,3,,0,,48,,603
Edge,3,,0,,48,,604
Edge,3,,0,,48,,605
Edge,3,,0,,48,,606
Edge,3,,0,,49,,607
Edge,3,,0,,49,,608
Edge,3,,0,,49,,609
Edge,3,,0,,49,,610
Edge,3,,0,,49,,611
Edge,3,,0,,49,,612
Edge,3,,0,,49,,613
Edge,3,,0,,49,,614
Edge,3,,0,,49,,615
Edge,3,,0,,49,,616
Edge,3,,0,,49,,617
Edge,1,,4,,48,,618
Edge,3,,0,,49,,619
Edge,3,,0,,49,,620
Edge,3,,0,,49,,621
Edge,3,,0,,49,,622
Edge,3,,0,,49,,623
Edge,3,,0,,49,,624
Edge,3,,0,,49,,625
Edge,3,,0,,49,,626
Edge,3,,0,,49,,627
Edge,3,,0,,49,,628
Edge,3,,0,,49,,629
Edge,3,,0,,49,,630
Edge,3,,0,,49,,631
Edge,3,,0,,49,,632
Edge,3,,0,,49,,633
Edge,3,,0,,49,,634
Edge,3,,0,,49,,635
Edge,3,,0,,49,,636
Edge,3,,0,,49,,637
Edge,3,,0,,49,,638
Edge,3,,0,,49,,639
Edge,3,,0,,49,,640
Edge,1,,2,,49,,641
Edge,3,,4,,48,,642
Edge,3,,4,,48,,643
Edge,3,,4,,48,,644
Edge,3,,4,,48,,645
Edge,3,,4,,48,,646
Edge,3,,4,,48,,647
Edge,3,,4,,48,,648
Edge,3,,4,,48,,649
Edge,3,,4,,48,,650
Edge,3,,4,,48,,651
Edge,2,,0,,49,,652
Edge,2,,0,,49,,653
Edge,2,,0,,49,,654
Edge,2,,0,,49,,655
Edge,2,,0,,49,,656
Edge,2,,0,,49,,657
Edge,2,,0,,49,,658
Edge,2,,0,,49,,659
Edge,2,,0,,49,,660
Edge,2,,0,,49,,661
Edge,2,,0,,49,,662
Edge,2,,0,,49,,663
Edge,2,,0,,49,,664
Edge,2,,0,,49,,665
Edge,2,,0,,49,,666
Edge,2,,0,,49,,667
Edge,2,,0,,49,,668
Edge,2,,0,,49,,669
Edge,2,,0,,49,,670
Edge,2,,0,,49,,671
Edge,3,,4,,48,,672
Edge,3,,0,,48,,673
Edge,3,,0,,48,,674
Edge,3,,0,,48,,675
Edge,3,,0,,48,,676
Edge,3,,0,,48,,677
Edge,3,,0,,48,,678
Edge,3,,0,,48,,679
