edge_id:int,source_id:int,target_id:int,label_id:int,inc_state:int
3801617,252536,573161,49,1
3801618,252536,14600,49,1
615459,252694,257,48,1
615460,252694,258,49,1
619347,254163,257,48,1
619348,254163,258,49,1
6798800,254495,257,48,1
6798801,254495,258,49,1
622387,255167,257,48,1
622388,255167,258,49,1
622555,255217,257,48,1
622556,255217,258,49,1
622557,255217,6980,49,1
622589,255222,257,48,1
622590,255222,258,49,1
622754,255246,257,48,1
622755,255246,258,49,1
622756,255246,6980,49,1
622811,255254,257,48,1
622812,255254,258,49,1
622920,255270,257,48,1
622921,255270,258,49,1
622922,255270,6980,49,1
622940,255273,257,48,1
622941,255273,258,49,1
622942,255273,6980,49,1
623653,255533,257,48,1
623654,255533,258,49,1
717422,255534,257,48,1
717423,255534,258,49,1
624335,255793,257,48,1
624336,255793,258,49,1
624477,255836,257,48,1
624478,255836,258,49,1
624479,255836,6980,49,1
624821,255926,257,48,1
624822,255926,258,49,1
630131,257636,257,48,2
630132,257636,258,49,1
629848,257808,257,48,1
629849,257808,258,49,1
630142,257906,257,48,2
630143,257906,258,49,1
632335,258574,257,48,1
632336,258574,258,49,1
636418,259958,257,48,1
636419,259958,258,49,1
639585,259959,257,48,1
639586,259959,258,49,1
649948,265251,257,48,1
649949,265251,258,49,1
3268058,265751,257,48,1
3268059,265751,258,49,1
660992,269235,257,48,1
660993,269235,258,49,1
661992,269619,257,48,1
661993,269619,258,49,1
662019,269626,257,48,1
662020,269626,258,49,1
666071,271290,257,48,1
666072,271290,34420,49,1
898792,271398,257,48,0
898793,271398,258,49,1
667790,271907,257,48,1
667791,271907,258,49,1
667792,271907,6980,49,1
672234,273619,257,48,1
672235,273619,258,49,1
675002,274782,257,48,1
675003,274782,258,49,1
689127,280103,257,48,1
689128,280103,258,49,1
693825,281730,257,48,1
693826,281730,258,49,1
702244,284836,257,48,1
702245,284836,258,49,1
709200,287329,257,48,2
709201,287329,2193,49,1
709202,287329,5445,49,1
1556025,287330,257,48,1
1556026,287330,2193,49,1
1556027,287330,5445,49,1
717299,290332,257,48,1
717300,290332,258,49,1
718163,290674,257,48,1
718164,290674,258,49,1
884611,296544,257,48,1
884612,296544,258,49,1
737405,297567,257,48,1
737406,297567,258,49,1
740189,298597,257,48,1
740190,298597,258,49,1
741101,298886,257,48,0
741102,298886,258,49,1
745961,300621,257,48,1
745962,300621,258,49,1
749173,301688,257,48,1
749174,301688,52747,49,1
12684411,301689,257,48,1
12684412,301689,52747,49,1
1689509,301690,257,48,1
1689511,301690,52747,49,1
1689510,301690,9855,48,1
749908,301928,46509,48,1
751008,302270,257,48,1
751009,302270,258,49,1
752104,302614,257,48,1
752105,302614,258,49,1
760135,305149,257,48,1
760136,305149,258,49,1
770217,305150,257,48,2
770218,305150,258,49,1
770405,310273,257,48,1
770406,310273,258,49,1
4902085,310684,257,48,1
4902086,310684,258,49,1
4902087,310684,6980,49,1
771958,310811,257,48,1
771959,310811,258,49,1
777497,312875,257,48,2
777498,312875,52747,49,1
7589113,312876,257,48,1
7589114,312876,52747,49,1
778022,312877,257,48,1
778023,312877,52747,49,1
779070,313510,257,48,1
779071,313510,258,49,1
780043,313857,257,48,0
780044,313857,258,49,1
780355,313978,257,48,1
780356,313978,258,49,1
780733,314115,257,48,1
780734,314115,258,49,1
787190,316380,257,48,1
787191,316380,2193,49,1
9162511,316381,257,48,1
9162512,316381,2193,49,1
787793,316567,2632,49,1
787792,316567,56958,48,1
789396,317081,257,48,1
789397,317081,9854,49,1
790547,317550,6526,48,1
790548,317550,6527,49,2
795740,319495,257,48,1
795741,319495,258,49,1
803051,322139,257,48,1
803052,322139,258,49,1
817995,327731,257,48,1
817996,327731,258,49,1
827670,331222,257,48,1
